Segment,Error_Code,Error_ID,Description
FO,16532,e$pm_cm_invalid,Clearing member Participant link not found.
FO,16533,e$corp_mgr_vu_mod,Enter either TM or Participant.
FO,16541,e$invalid_participant,Participant is invalid.
FO,16550,e$trade_approved_by_cm,Trade cannot be modified /cancelled. It has already been approved by CM.
FO,16552,e$cm_stock_suspended,Stock has been suspended.
FO,16554,e$broker_not_permitted_in_fut,Trading Member not permitted in Futures.
FO,16555,e$broker_not_permitted_in_opt,„Trading Member not permitted in Options.‟
FO,16556,e$qty_less_than_min_lot,Quantity less than the minimum lot size.
FO,16557,e$disc_qty_less_than_min_lot,Disclose quantity less than the minimum lot size.
FO,16558,e$mf_qty_less_than_min_lot,Minimum fill is less than the minimum lot size.
FO,16560,e$already_rejected,The give up trade has already been rejected.
FO,16561,e$nt_orders_not_allowed,Negotiated Orders not allowed.
FO,16562,e$nt_trade_not_allowed,Negotiated Trade not allowed.
FO,16566,e$inconsistent_broker_branch,User does not belong to Broker or Branch.
FO,16570,M$post_close_start,The market is in post-close.
FO,16571,M$post_close_ended,The Closing Session has ended.
FO,16572,M$post_close_trades,Closing Session trades have been generated.
FO,16573,e$invalid_msg_length,Message length is invalid.
FO,16574,e$invalid_open_close_type,Open - Close type entered is invalid.
FO,16576,e$nnf_inq_req_exceeded,No. of nnf inquiry requests exceeded.
FO,16577,e$participant_and_volume_changed,Both participant and volume changed.
FO,16578,e$invalid_cover_uncover_type,Cover - Uncover type entered is invalid.
FO,16579,e$illegal_cm_id,Giveup requested for wrong CM ID.
FO,16580,e$illegal_participant,Order does not belong to the given participant.
FO,16581,e$invalid_fill_price,Invalid trade price.
FO,16583,e$pro_no_participant,For Pro order participant entry not allowed.
FO,16585,e$invalid_account_no,Not a valid account number.
FO,16586,e$allow_no_participant_order,Participant Order Entry Not Allowed.
FO,16589,M$delete_all_orders,All continuous session orders are being deleted now.
FO,16594,TRADE_QTY_NOT_MOD_AFTER_GIVEUP,"After giveup approve/reject, trade quantity cannot be modified."
FO,16596,e$tmid_cant_exercise_for_ptcpnt,Trading member cannot put Ex/Pl request for Participant.
FO,16597,e$cum_ur_ord_val_limit_exceeded,Branch limit should be greater than sum of user limits.
FO,16598,e$branch_ord_val_limit_exceeded,Branch limit should be greater than used limit.
FO,16602,e$dealer_value_limit_exceeds,Dealer value limit exceeds the set limit.
FO,16604,e$participant_not_found,Participant not found.
FO,16605,e$either_leg_failed,One leg of spread/2L failed.
FO,16606,e$qty_greater_than_freeze_qty,Quantity greater than Freeze quantity.
FO,16607,e$spread_not_allowed,Spread not allowed.
FO,16608,e$spread_allowed_only_in_open,Spread allowed only when market is open.
FO,16609,e$spread_allowed_if_stock_open,Spread allowed only when stock is open.
FO,16610,e$qty_should_be_same,Both legs should have same quantity.
FO,16611,e$ord_mod_qty_frz_not_allowed,Modified order qty freeze not allowed.
FO,16612,e$trade_rec_modified,The trade record has been modified.
FO,16615,e$tm_order_cant_be_modified,Order cannot be modified.
FO,16616,e$tm_order_cant_be_cancelled,Order can not be cancelled.
FO,16617,e$tm_trade_cant_be_manipulated,Trade can not be manipulated.
FO,16619,e$pcm_cant_ex_pl_for_himself,PCM can not ex_pl for himself.
FO,16620,e$clearing_member_cant_expl,Ex/Pl by clearing member for TM not allowed.
FO,16621,e$cant_manipulate_expl_of_tm,Clearing member cannot change the Ex/Pl requests placed by Trading Member.
FO,16625,e$cm_of_tm_suspended,Clearing member is suspended.
FO,16626,e$expdate_not_in_ascending_ord,Expiry date not in ascending order.
